job_id,company,job-title,level,long_url
3847477588,NetEase Games,Data Analyst (User Data Science),Not Applicable,https://sg.linkedin.com/jobs/view/data-analyst-user-data-science-at-netease-games-3847477588?position=1&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=9LDxjAcG%2B5uB%2FIsjON3lrw%3D%3D&trk=public_jobs_jserp-result_search-card
3716933612,4e Exchange,Senior Data Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/senior-data-analyst-at-4e-exchange-3716933612?position=2&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=PaIMW%2BjDb7uNMz%2BGsTFZmA%3D%3D&trk=public_jobs_jserp-result_search-card
3855599294,,,,https://sg.linkedin.com/jobs/view/data-analyst-byteplus-recommend-at-bytedance-3855599294?position=3&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=%2Fim%2FDqkqu0pNGBDtxbiYNg%3D%3D&trk=public_jobs_jserp-result_search-card
3818197333,Sea,Data Analyst (Finance),Entry level,https://sg.linkedin.com/jobs/view/data-analyst-finance-at-sea-3818197333?position=4&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=HgvR8AvWb4vscAzI6cyObw%3D%3D&trk=public_jobs_jserp-result_search-card
3847688026,,,,https://sg.linkedin.com/jobs/view/data-analyst-byteplus-recommend-at-bytedance-3847688026?position=5&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=q6aFBytuM3KPmyEkc3Soxg%3D%3D&trk=public_jobs_jserp-result_search-card
3852789734,,,,https://sg.linkedin.com/jobs/view/data-analyst-at-primestaff-management-services-3852789734?position=6&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=ek8ygE17TyIkUx8kWKQ%2FVw%3D%3D&trk=public_jobs_jserp-result_search-card
3847474981,NetEase Games,Senior Data Analyst,Not Applicable,https://sg.linkedin.com/jobs/view/senior-data-analyst-at-netease-games-3847474981?position=7&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=fH1M2mfFYB1P5gFmIViNIA%3D%3D&trk=public_jobs_jserp-result_search-card
3811700384,Dyson,Senior Business Intelligence (BI) Data Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/senior-business-intelligence-bi-data-analyst-at-dyson-3811700384?position=8&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=4AJwawuMOz5wuGXrzvgXSg%3D%3D&trk=public_jobs_jserp-result_search-card
3874400730,eTeam,Data Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/data-analyst-at-eteam-3874400730?position=9&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=8d5Ifybn%2BJ%2FzyyV8qTYIHA%3D%3D&trk=public_jobs_jserp-result_search-card
3876327092,,,,https://sg.linkedin.com/jobs/view/data-analyst-at-cheil-singapore-rhq-3876327092?position=10&pageNum=2&refId=ode2VmqZ7vDZTiG%2FiHWXhQ%3D%3D&trackingId=FqCmiu5u8dDudifwVceMkw%3D%3D&trk=public_jobs_jserp-result_search-card
3856754678,StarHub,Data Analyst,Entry level,https://sg.linkedin.com/jobs/view/data-analyst-at-starhub-3856754678?position=1&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=ohu5lf3GoBl1803iZM8rJA%3D%3D&trk=public_jobs_jserp-result_search-card
3849384401,,,,https://sg.linkedin.com/jobs/view/%E6%95%B0%E6%8D%AE%E5%88%86%E6%9E%90%E5%B8%88-at-charterhouse-asia-3849384401?position=2&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=eqH86j7cNx2MT6vuJ3ULgg%3D%3D&trk=public_jobs_jserp-result_search-card
3814481806,Chevron,Quantitative Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/quantitative-analyst-at-chevron-3814481806?position=3&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=CZUHjYKxEYFVwPN%2FSt4dBQ%3D%3D&trk=public_jobs_jserp-result_search-card
3858530246,,,,https://sg.linkedin.com/jobs/view/senior-data-analyst-at-study-group-3858530246?position=4&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=wIJcrj1nMmvbR3FpkvbHOA%3D%3D&trk=public_jobs_jserp-result_search-card
3811494961,Dyson,Lead BI Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/lead-bi-analyst-at-dyson-3811494961?position=5&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=f%2FF%2FFDW2XRpxsI1YpmS6hg%3D%3D&trk=public_jobs_jserp-result_search-card
3778427691,,,,https://sg.linkedin.com/jobs/view/data-analyst-at-binance-3778427691?position=6&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=VFYmXBd7OuQGdWsiMlifZg%3D%3D&trk=public_jobs_jserp-result_search-card
3853412263,Ant International,Business Intelligence Specialist,Mid-Senior level,https://sg.linkedin.com/jobs/view/business-intelligence-specialist-at-ant-international-3853412263?position=7&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=S6qfsCFpqz8KYFez7Sm2RQ%3D%3D&trk=public_jobs_jserp-result_search-card
3869458780,,,,https://sg.linkedin.com/jobs/view/business-intelligence-specialist-at-anext-bank-3869458780?position=8&pageNum=5&refId=G%2BRPabTaKHzhXWonHEqNbg%3D%3D&trackingId=bYOqf8VFxMlkBH56GXgVYQ%3D%3D&trk=public_jobs_jserp-result_search-card
3869428275,,,,
3848239081,myGwork - LGBTQ+ Business Community,Data Analyst,Entry level,https://sg.linkedin.com/jobs/view/data-analyst-at-mygwork-lgbtq%2B-business-community-3848239081?position=1&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=opscBrflnQjQ7%2Bq1ezhB%2Fg%3D%3D&trk=public_jobs_jserp-result_search-card
3838501322,HoYoverse,Data Analyst - Community Product and Content Creators - Fresh Grad,Entry level,https://sg.linkedin.com/jobs/view/data-analyst-community-product-and-content-creators-fresh-grad-at-hoyoverse-3838501322?position=2&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=8kDKzOqJN1wWU%2FtaCv0vog%3D%3D&trk=public_jobs_jserp-result_search-card
3697846396,,,,https://sg.linkedin.com/jobs/view/quantitative-researcher-at-shanghai-yanfu-investments-co-ltd-3697846396?position=3&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=KOImJ%2Bfbh0qVu79YXGZe%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card
3862698683,Capgemini,Senior Data Anlyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/senior-data-anlyst-at-capgemini-3862698683?position=4&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=WMTUwBvvMxVlfR8D5lJeZQ%3D%3D&trk=public_jobs_jserp-result_search-card
3783631113,,,,https://sg.linkedin.com/jobs/view/business-analyst-azure-data-factory-at-unison-consulting-3783631113?position=5&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=Sodq%2FYmyGYRDiOXrP1W2EA%3D%3D&trk=public_jobs_jserp-result_search-card
3790491475,Singtel,Data Analyst (Billing Management),Entry level,https://sg.linkedin.com/jobs/view/data-analyst-billing-management-at-singtel-3790491475?position=6&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=EYz%2Fxd%2BWRKp6zJXvg3ZScg%3D%3D&trk=public_jobs_jserp-result_search-card
3811264052,,,,https://sg.linkedin.com/jobs/view/regional-business-intelligence-senior-analyst-at-cartier-3811264052?position=1&pageNum=15&refId=8s5d3PNCMFPzCsiUsDu%2F8w%3D%3D&trackingId=rOcOyGEPgODAeFKAjRQueQ%3D%3D&trk=public_jobs_jserp-result_search-card
3779110996,Klook,Senior Data Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/senior-data-analyst-at-klook-3779110996?position=8&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=StJ6ruHdfWvg%2BZlKk7%2Fi%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card
3863656950,Manpower Singapore,Data Analyst (Sales Finance),Entry level,https://sg.linkedin.com/jobs/view/data-analyst-sales-finance-at-manpower-singapore-3863656950?position=9&pageNum=10&refId=Y9PzsR97j6J%2BqQ9AWQOv0w%3D%3D&trackingId=dwnH3hpZUwONJ50%2B16q9aw%3D%3D&trk=public_jobs_jserp-result_search-card
3857160289,,,,https://sg.linkedin.com/jobs/view/intern-data-ai-business-analyst-off-cycle-jul-dec-2024-at-capitaland-3857160289?position=1&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=E5K0ZdikyzdRLFIfNKuM7g%3D%3D&trk=public_jobs_jserp-result_search-card
3818502248,,,,https://sg.linkedin.com/jobs/view/data-analyst-at-jll-3818502248?position=2&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=4DpDTcUoWBohiGD1yI6znw%3D%3D&trk=public_jobs_jserp-result_search-card
3860230296,BNP Paribas,"Data Analyst , WM Business Analytics",Mid-Senior level,https://sg.linkedin.com/jobs/view/data-analyst-wm-business-analytics-at-bnp-paribas-3860230296?position=3&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=astb4PFyNqbLmjDMkQknSg%3D%3D&trk=public_jobs_jserp-result_search-card
3840081410,Julius Baer,Chief Risk Office Data Analytics Analyst (24-month Analyst Programme),Director,https://sg.linkedin.com/jobs/view/chief-risk-office-data-analytics-analyst-24-month-analyst-programme-at-julius-baer-3840081410?position=4&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=9I7xcW6VrgTAm1lLTYoqFw%3D%3D&trk=public_jobs_jserp-result_search-card
3861121273,,,,https://sg.linkedin.com/jobs/view/junior-security-intelligence-analyst-at-control-risks-3861121273?position=5&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=1Zqe7P36IKdziw2I5AD%2BVQ%3D%3D&trk=public_jobs_jserp-result_search-card
3847950145,SeaMoney,Data Analyst - SeaMoney Credit,Mid-Senior level,https://sg.linkedin.com/jobs/view/data-analyst-seamoney-credit-at-seamoney-3847950145?position=6&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=ZRRLb84dupRndxNPA2mykg%3D%3D&trk=public_jobs_jserp-result_search-card
3861968610,Decathlon Singapore,Data Visualization Intern (Tableau),Internship,https://sg.linkedin.com/jobs/view/intern-data-analytics-at-the-ascott-limited-3590285003?position=9&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=lnF6eoR2ycs%2BIm%2Bh%2B46N7A%3D%3D&trk=public_jobs_jserp-result_search-card
3590285003,The Ascott Limited,"Intern, Data Analytics",Internship,https://sg.linkedin.com/jobs/view/data-analyst-search-recommendation-at-shopee-3873321393?position=10&pageNum=12&refId=g3J9GV7leJCrazqa%2Fdxa0Q%3D%3D&trackingId=0uMynz7pagG2naOYY%2BHn3Q%3D%3D&trk=public_jobs_jserp-result_search-card
3873321393,Shopee,Data Analyst - Search & Recommendation,Mid-Senior level,
3693533943,,,,https://sg.linkedin.com/jobs/view/data-analyst-genshin-impact-at-hoyoverse-3693533943?position=2&pageNum=15&refId=8s5d3PNCMFPzCsiUsDu%2F8w%3D%3D&trackingId=nXPiew9zZ17CSW1L0l3Uyg%3D%3D&trk=public_jobs_jserp-result_search-card
3834887210,Terrascope,Carbon Data Analyst,Not Applicable,https://sg.linkedin.com/jobs/view/carbon-data-analyst-at-terrascope-3834887210?position=3&pageNum=15&refId=8s5d3PNCMFPzCsiUsDu%2F8w%3D%3D&trackingId=t9qoEtNzbGPxrYobM8K6HA%3D%3D&trk=public_jobs_jserp-result_search-card
3842801612,,,,https://sg.linkedin.com/jobs/view/data-analyst-digitalisation-office-at-ministry-of-trade-and-industry-singapore-3845744219?position=8&pageNum=15&refId=8s5d3PNCMFPzCsiUsDu%2F8w%3D%3D&trackingId=wZJet%2FWXHFB%2FDSbKRVfNOA%3D%3D&trk=public_jobs_jserp-result_search-card
3820510943,,,,https://sg.linkedin.com/jobs/view/intelligence-analyst-at-binance-3857854019?position=9&pageNum=15&refId=8s5d3PNCMFPzCsiUsDu%2F8w%3D%3D&trackingId=Rb%2Fq57jvcnxocA3Q39CDEQ%3D%3D&trk=public_jobs_jserp-result_search-card
3845744219,,,,https://sg.linkedin.com/jobs/view/data-engineer-analyst-research-architect-at-evolution-singapore-3845443215?position=10&pageNum=15&refId=8s5d3PNCMFPzCsiUsDu%2F8w%3D%3D&trackingId=mfprWyu8SNEyyD3pHM%2F1mA%3D%3D&trk=public_jobs_jserp-result_search-card
3857854019,,,,
3845443215,,,,
3820304659,OKX,Senior Data Analyst - Institutional Data,Associate,https://sg.linkedin.com/jobs/view/senior-data-analyst-institutional-data-at-okx-3820304659?position=1&pageNum=17&refId=TKc98pgYA4CqHjYSeuzjJg%3D%3D&trackingId=FLwA2HE6AQuqB1LVdBaoMA%3D%3D&trk=public_jobs_jserp-result_search-card
3731612602,,,,https://sg.linkedin.com/jobs/view/quantitative-researcher-singapore-at-graviton-research-capital-llp-3731612602?position=2&pageNum=17&refId=TKc98pgYA4CqHjYSeuzjJg%3D%3D&trackingId=rmxadI9sewjgxlsf8alGMw%3D%3D&trk=public_jobs_jserp-result_search-card
3863467104,Binance,Customer Service - Data Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/customer-service-data-analyst-at-binance-3863467104?position=3&pageNum=17&refId=TKc98pgYA4CqHjYSeuzjJg%3D%3D&trackingId=J6mnW3bHim45WDLB2TF4pA%3D%3D&trk=public_jobs_jserp-result_search-card
3801220402,,,,https://sg.linkedin.com/jobs/view/senior-data-analyst-core-product-at-okx-3801220402?position=4&pageNum=17&refId=TKc98pgYA4CqHjYSeuzjJg%3D%3D&trackingId=wg5%2BwoQC9OiFPuCnb69pig%3D%3D&trk=public_jobs_jserp-result_search-card
3855076896,Randstad Singapore,BI Analyst,Mid-Senior level,https://sg.linkedin.com/jobs/view/data-analyst-payments-fintech-at-page-personnel-3728168751?position=10&pageNum=17&refId=TKc98pgYA4CqHjYSeuzjJg%3D%3D&trackingId=GsBFZOSov0tCQ8WwegwQRA%3D%3D&trk=public_jobs_jserp-result_search-card
3728168751,,,,
3855055358,UBS,Data Operations Analyst,Not Applicable,https://sg.linkedin.com/jobs/view/operations-analyst-data-operations-trust-safety-at-gojek-3832341551?position=8&pageNum=20&refId=XRYmqHjDagfenx6eyvnyGQ%3D%3D&trackingId=j45mPHfHEMgBrYT4RZzm8g%3D%3D&trk=public_jobs_jserp-result_search-card
