job_id,company,job-title,date,long_url
3931607670,Solventum,Senior Medical Liaison,2024-05-24,https://sg.linkedin.com/jobs/view/senior-medical-liaison-at-solventum-3931607670?position=1&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=rp5gZZIR6gbC0YRIgooawA%3D%3D&trk=public_jobs_jserp-result_search-card
3894697466,JurongHealth Campus,"Senior Assistant Manager, Medical Affairs",2024-05-22,https://sg.linkedin.com/jobs/view/senior-assistant-manager-medical-affairs-at-juronghealth-campus-3894697466?position=6&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=Z78ZmNNFYcdfa74rB6HdeQ%3D%3D&trk=public_jobs_jserp-result_search-card
3853691373,JurongHealth Campus,"Assistant Manager, Medical Affairs",2024-05-22,https://sg.linkedin.com/jobs/view/assistant-manager-medical-affairs-at-juronghealth-campus-3853691373?position=7&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=PXBw%2FnKZ11%2FD%2FfDNLxRYmQ%3D%3D&trk=public_jobs_jserp-result_search-card
3931162161,IQVIA,Medical Science Liaison,2024-05-22,https://sg.linkedin.com/jobs/view/medical-science-liaison-at-iqvia-3931162161?position=8&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=r17yYaumD9YvJb5Hl3FM4w%3D%3D&trk=public_jobs_jserp-result_search-card
3921849879,Jobscentral,Clinic Manager - Up to $6.5K #HKH,2024-05-09,https://sg.linkedin.com/jobs/view/clinic-manager-up-to-%246-5k-%23hkh-at-jobscentral-3921849879?position=4&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=6VJxu3QUIZqVuD5tJoeVQA%3D%3D&trk=public_jobs_jserp-result_search-card
3917294619,Juniper Biologics,Medical Manager (Infectious Diseases),2024-05-08,https://sg.linkedin.com/jobs/view/medical-manager-infectious-diseases-at-juniper-biologics-3917294619?position=2&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=sg4s9ekc3OiGzYez3yP86A%3D%3D&trk=public_jobs_jserp-result_search-card
3879243922,JurongHealth Campus,"Senior / Assistant Manager, Medical Affairs (Medico-legal)",2024-04-30,https://sg.linkedin.com/jobs/view/senior-assistant-manager-medical-affairs-medico-legal-at-juronghealth-campus-3879243922?position=5&pageNum=0&refId=O1AKS0yIjiLcwoCxvZJ9oA%3D%3D&trackingId=OFQ3ByBtK3KcHGfsG0rNXg%3D%3D&trk=public_jobs_jserp-result_search-card
3908486741,Randstad Singapore,Regional Salesforce Effectiveness Manager - Medical Device,2024-04-29,https://sg.linkedin.com/jobs/view/regional-salesforce-effectiveness-manager-medical-device-at-randstad-singapore-3908486741?position=5&pageNum=2&refId=8CV7EaP0VZ3TiMzF9HJ0OA%3D%3D&trackingId=sEnq57BiX0pnkakmsTtaZw%3D%3D&trk=public_jobs_jserp-result_search-card
3892847399,National University Hospital,"Assistant Manager / Manager, NUH Centre for Global Health (Medical Evaluator)",2024-04-11,https://sg.linkedin.com/jobs/view/assistant-manager-manager-nuh-centre-for-global-health-medical-evaluator-at-national-university-hospital-3892847399?position=9&pageNum=2&refId=5Y%2F4WqmryGv1vg0Y2BQaMA%3D%3D&trackingId=gj9svV7Ja%2FXlB255sw0pCA%3D%3D&trk=public_jobs_jserp-result_search-card
3886847157,Randstad Singapore,Regional Salesforce Effectiveness Manager - Medical Device,2024-04-09,https://sg.linkedin.com/jobs/view/regional-salesforce-effectiveness-manager-medical-device-at-randstad-singapore-3886847157?position=4&pageNum=2&refId=76kjCCtxZo5mg4CLpUS%2FMg%3D%3D&trackingId=xETFR%2BJCt8H3yBNJeQ8HiQ%3D%3D&trk=public_jobs_jserp-result_search-card
